time keep speed
16:39:00.048 86 180.0
16:39:01.046 87 261.0
16:39:02.047 88 146.0
16:39:03.047 89 163.0
16:39:04.047 90 132.0
16:39:05.049 91 117.0
16:39:06.047 92 128.0
16:39:07.048 93 188.0
16:39:08.047 94 521.0
16:39:09.047 95 222.0
16:39:10.048 96 172.0
16:39:11.047 97 166.0
16:39:12.048 98 158.0
16:39:13.047 99 143.0
16:39:14.047 100 94.0
16:39:15.048 101 56.0
16:39:16.047 102 71.0
16:39:17.046 103 44.0
16:39:18.049 104 102.0
16:39:19.047 105 189.0
16:39:20.048 106 286.0
16:39:21.046 107 158.0
16:39:22.046 108 138.0
16:39:23.048 109 114.0
16:39:24.047 110 128.0
16:39:25.048 111 133.0
16:39:26.051 112 113.0
16:39:27.046 113 85.0
16:39:28.046 114 106.0
16:39:29.047 115 84.0
16:39:30.046 116 121.0
16:39:31.047 117 379.0
16:39:32.046 118 363.0
16:39:33.046 119 179.0
16:39:34.047 120 155.0
16:39:35.047 121 172.0
16:39:36.047 122 179.0
16:39:37.047 123 163.0
16:39:38.047 124 180.0
16:39:39.047 125 164.0
16:39:40.047 126 145.0
16:39:41.046 127 160.0
16:39:42.047 128 148.0
16:39:43.046 129 161.0
16:39:44.046 130 159.0
16:39:45.047 131 153.0
16:39:46.046 132 165.0
16:39:47.046 133 154.0
16:39:48.046 134 119.0
16:39:49.047 135 72.0
16:39:50.047 136 138.0
16:39:51.046 137 170.0
16:39:52.046 138 391.0
16:39:53.047 139 354.0
16:39:54.046 140 188.0
16:39:55.046 141 158.0
16:39:56.047 142 127.0
16:39:57.046 143 77.0
16:39:58.046 144 31.0
16:39:59.047 145 15.0
16:40:00.046 146 5.0
16:40:01.047 147 117.0
16:40:02.046 148 159.0
16:40:03.046 149 442.0
16:40:04.047 150 341.0
16:40:05.047 151 188.0
16:40:06.046 152 159.0
16:40:07.047 153 134.0
16:40:08.046 154 105.0
16:40:09.046 155 63.0
16:40:10.047 156 82.0
16:40:11.046 157 59.0
16:40:12.055 158 25.0
16:40:13.046 159 42.0
16:40:14.046 160 99.0
16:40:15.047 161 97.0
16:40:16.046 162 122.0
16:40:17.046 163 102.0
16:40:18.047 164 105.0
16:40:19.046 165 139.0
16:40:20.050 166 423.0
16:40:21.046 167 317.0
16:40:22.046 168 168.0
16:40:23.048 169 137.0
16:40:24.046 170 123.0
16:40:25.046 171 93.0
16:40:26.047 172 55.0
16:40:27.046 173 24.0
16:40:28.046 174 13.0
16:40:29.047 175 95.0
16:40:30.046 176 115.0
16:40:31.046 177 155.0
16:40:32.006 178 427.0
16:40:33.046 179 253.0
16:40:34.047 180 155.0
16:40:35.047 181 129.0
16:40:36.046 182 132.0
16:40:37.047 183 110.0
16:40:38.046 184 78.0
16:40:39.046 185 60.0
16:40:40.047 186 124.0
16:40:41.046 187 140.0
16:40:42.047 188 136.0
16:40:43.046 189 157.0
16:40:44.046 190 133.0
16:40:45.047 191 113.0
16:40:46.046 192 93.0
16:40:47.046 193 82.0
16:40:48.047 194 83.0
16:40:49.046 195 117.0
16:40:50.006 196 247.0
16:40:51.047 197 195.0
16:40:52.046 198 220.0
16:40:53.046 199 143.0
16:40:54.047 200 125.0
16:40:55.047 201 120.0
16:40:56.046 202 132.0
16:40:57.047 203 169.0
16:40:58.046 204 148.0
16:40:59.047 205 153.0
16:41:00.046 206 302.0
16:41:01.046 207 280.0
16:41:02.047 208 159.0
16:41:03.046 209 141.0
16:41:04.046 210 129.0
16:41:05.046 211 105.0
16:41:06.046 212 69.0
16:41:07.047 213 117.0
16:41:08.046 214 126.0
16:41:09.046 215 175.0
16:41:10.047 216 222.0
16:41:11.046 217 254.0
16:41:12.046 218 172.0
16:41:13.050 219 136.0
16:41:14.047 220 120.0
16:41:15.047 221 129.0
16:41:16.046 222 133.0
16:41:17.046 223 109.0
16:41:18.046 224 90.0
16:41:19.046 225 208.0
16:41:20.046 226 348.0
16:41:21.046 227 199.0
16:41:22.047 228 147.0
16:41:23.046 229 121.0
16:41:24.046 230 81.0
16:41:25.046 231 96.0
16:41:26.046 232 78.0
16:41:27.046 233 32.0
16:41:28.046 234 18.0
16:41:29.046 235 6.0
16:41:30.046 236 44.0
16:41:31.046 237 89.0
16:41:32.047 238 159.0
16:41:33.046 239 477.0
16:41:34.047 240 163.0
16:41:35.046 241 142.0
16:41:36.046 242 128.0
16:41:37.046 243 119.0
16:41:38.046 244 101.0
16:41:39.047 245 68.0
16:41:40.047 246 27.0
16:41:41.046 247 103.0
16:41:42.046 248 110.0
16:41:43.046 249 115.0
16:41:44.046 250 118.0
16:41:45.046 251 325.0
16:41:46.047 252 250.0
16:41:47.046 253 143.0
16:41:48.047 254 132.0
16:41:49.046 255 112.0
16:41:50.046 256 104.0
16:41:51.047 257 118.0
16:41:52.046 258 119.0
16:41:53.056 259 164.0
16:41:54.046 260 249.0
16:41:55.046 261 193.0
16:41:56.046 262 149.0
16:41:57.046 263 128.0
16:41:58.046 264 117.0
16:41:59.046 265 104.0
16:42:00.046 266 116.0
16:42:01.046 267 112.0
16:42:02.046 268 117.0
16:42:03.046 269 104.0
16:42:04.046 270 96.0
16:42:05.046 271 131.0
16:42:06.046 272 277.0
16:42:07.046 273 224.0
16:42:08.046 274 172.0
16:42:09.046 275 142.0
16:42:10.047 276 123.0
16:42:11.046 277 140.0
16:42:12.046 278 140.0
16:42:13.047 279 126.0
16:42:14.046 280 145.0
16:42:15.046 281 384.0
16:42:16.046 282 213.0
16:42:17.047 283 159.0
16:42:18.047 284 146.0
